date,relative_dates,year_month,stars,review
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,Immer wieder erstaunt über die Vielfalt. Sauber sortiert und beim Preisvergleich auch gegenüber den umliegenden Baumärkten meist am günstigsten.
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,Sehr große Auswahl zu top Preisen.
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,"Telefonisch bestellt, Lieferschein geholt, Lieferung arrangiert- alles blitzschnell, super"
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,
1 Monat,2023-01-01 21:52:58.219242,01/2023,4,Nettes Personal
2 Monaten,2022-12-02 21:52:58.219242,12/2022,3,Auf Grund der Größe wirkt der Markt ziemlich beengt im Vergleich zum Beispiel zum Krefelder Markt..
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,"Gute Auswahl, teilweise etwas chaotisch eingeräumt. Mitarbeiter sind nett. Preise sind super!"
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,"Große Auswahl, gute Parkmöglichkeiten"
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,Risen grose baumarkt
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,"Super freundlichen Personal , Wäre gekauft,viele Kasen offen ( auch selbst Bedienung). Immer wieder gerne."
2 Monaten,2022-12-02 21:52:58.219242,12/2022,1,"Fliesenkauf eine absolute Katastrophe! Erst waren diese 2 Wochen verschollen und dann bekomme ich sowas (siehe Bild). Nach Rücksprache Hornbach/Hersteller sollen die Mosaikfliesen die selbe Serie sein wie die 1m x 1m Fliesen, Hometek black matt. Keine neulieferung o.ä. Hersteller sagt ist halt so. Und im Markt an der Wand welche die Muster enthält sehen die Mosaikfliesen natürlich nicht Grau aus. Jetzt darf ich alles wieder zurück in den Markt bringen. Eine Frechheit. Aber zumindest der Hotlinemitarbeiter war sehr freundlich. Sonst nur Ärger.Edit: wurden anstandslos umgetauscht und ich habe zusätzlich einen Gutschein bekommen. Ich bleibe weiter Hornbachkunde. Allerdings nicht mehr für Fliesen."
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,3,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,Sehr nette Mitarbeiter
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,"Propangas in einer leichten Aluflasche für mein Wohnmobil habe ich benötigt. Hier habe ich es bekommen. Der Mitarbeiter war sehr freundlich, hat mich gut beraten und schnell bedient."
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,"Prima, fast alles ist da was du brauchst."
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,Hornbach Moers Women@Work Projekt Day. 11.11.2022
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,Gut sortierter Baumarkt. Nach Neugestaltung der Holzabteilung eine gute Holzauswahl
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,Ist der nächste Baumarkt.....
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,"Wahnsinnig große Auswahl zu größtenteils sehr guten Preisen. Im Vergleich zu anderen hiesigen Baumärkten, kann man fast sagen, dass man hier auch günstig gute Qualität kaufen kann. Man findet auch relativ schnell Mitarbeiter, wenn man eine Frage hat oder Beratung braucht.Die Mitarbeiter im Holzzuschnitt sind überaus freundlich und helfen sehr gut."
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,Top Preise top Auswahl top hübsche Kassiererin ;-)
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,Gutes Preis-Leistungs-Verhältnis. Für jede Tasche was dabei. Leider lässt die Beratung etwas zu wünschen übrig. Doch trotzdem besser und schneller als die Mitarbeiter in der duisburger Filiale!
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,"Was in anderen Baumärkten nicht geführt wird, bekommt man bestimmt hier."
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,Wie alle hornbach gut sortiert was aber auch da wie in allen Filialen ist das Personal schwer zu finden. 😉
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,3,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,
2 Monaten,2022-12-02 21:52:58.219242,12/2022,4,"Hier gibt's noch alle Buchstaben!Laden gut sortiert, Hilfe bekommt man auch und Beratung klappt insgesamt gut."
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,Finde immer alles bei Hornbach
2 Monaten,2022-12-02 21:52:58.219242,12/2022,5,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,4,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,4,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,4,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,3,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,👍👍👍👍👍👍👍
3 Monaten,2022-11-02 21:52:58.219242,11/2022,3,Bedienung nicht so gut.
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,3,"Ich finde die Beratung in diesem Markt meistens Grauenvoll, jeder mitarbeiter wirkt genervt von Kunden wenn man dann mal einen findet, was positiv ist, die Tiefpreisgarantie, aber auch dort muss man stets in genervt gelangweilte gesichter blicken, andere Baumärkte sind da viel angenehmer."
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,:) Wer Hornbach nicht kennt. ....hat die Welt verpennt .Von Klodeckel bis Blumentopf  alles erhältlich.
